[2025-02-17 10:23:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 386, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 2, 'name': 'Saiko', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813037033}]}}
[2025-02-17 10:24:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:00] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 387, 'op': 0, 'd': {'user': {'id': '1085549382528667790'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': 'Cluster 2 | 4097 Servers 🖥️', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813037043}]}}
[2025-02-17 10:24:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:00] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:00] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813040062.
[2025-02-17 10:24:00] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813040062}.
[2025-02-17 10:24:00] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813040062}
[2025-02-17 10:24:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 388, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTM0MTA5NzgyODAzMzg4ODI1NjptNW5BZ3l6YUpSa0JpWE5QMGFJdVhYejNyWmpzN1NpVVBuSEtkQXlTUW5oWDBONTNkSGRGdEp1Q0gwNUQ4T3RRdjlVV00zNDdyN3BOejJ6ZnNQaUdBZU9TaTZCVUpMdU5NQ0Q5ZEdjOW84bXJTQzA4OTNmNEtPZHh1SjhzdkpLOQ', 'member': {'user': {'username': 'johnrealnoob', 'public_flags': 0, 'primary_guild': None, 'id': '668317895616626711', 'global_name': 'JohnRealNoob', 'discriminator': '0', 'clan': None, 'avatar_decoration_data': {'sku_id': '1338927497860878466', 'expires_at': 1744963200, 'asset': 'a_1307226c0fbaee9a3def12b88ee2bfcc'}, 'avatar': '63a84bc11c7e879080baf0028b93df1d'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'permissions': '2251799813685247', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-12-18T09:36:40.650000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1341097828033888256', 'guild_locale': 'en-US', 'guild_id': '1053969038751047700', 'guild': {'locale': 'en-US', 'id': '1053969038751047700', 'features': ['COMMUNITY', 'NEWS']}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'options': [{'value': 'Human', 'type': 3, 'name': 'music'}], 'name': 'play', 'id': '1341065284177367203'}, 'context': 0, 'channel_id': '1316225608275066931', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permissions': '2251799813685247', 'parent_id': '1053969038751047701', 'nsfw': False, 'name': 'bot', 'last_message_id': '1341097639072108558', 'id': '1316225608275066931', 'guild_id': '1053969038751047700', 'flags': 0}, 'authorizing_integration_owners': {'0': '1053969038751047700'}, 'application_id': '1109699958401159258', 'app_permissions': '2251799813685247'}}
[2025-02-17 10:24:01] [DEBUG   ] discord.client: Dispatching event socket_event_type
